[00:00:00 --> 00:00:06]  Всем привет! Меня зовут Икатерина, я веду с специалист по отбору оборудовании в компании Ижица.
[00:00:06 --> 00:00:14]  Сегодня раздерем один из часто задаваемых вопросов. Почему Ижица не продает отдельно дымы генераторы без коптильных камер?
[00:00:14 --> 00:00:21]  И что значит собрать камеру самостоятельно, либо приобрести профессиональную серийную модель?
[00:00:21 --> 00:00:31]  Компания Ижица выпускает различные термокамеры, начинает от самых простых полов-таматических и небольших установок за грузкой от 20 килограмм.
[00:00:31 --> 00:00:40]  До огромных индустриальных промышленных термокамер полностью автоматизированных и со автоматическими дымы генераторами.
[00:00:40 --> 00:00:44]  Дымы генератор является сердцем установки.
[00:00:44 --> 00:00:53]  Многие умельцы пытаются построить свою коптильню самостоятельно.
[00:00:53 --> 00:01:01]  И в общем-то у некоторых это хорошо получается. Но основной вопрос возникает, какой же дымы генератор на нее установить.
[00:01:01 --> 00:01:13]  В этом случае, к нам часто приходят за просы, а можно ли поставить наш дымы генератор от небольшой полов-таматической установки, например, на коптильню собственного произвести.
[00:01:13 --> 00:01:18]  В таких случаях дымы генератор мы не продаем. Почему?
[00:01:18 --> 00:01:23]  Причин здесь на самом деле несколько. Первое причина.
[00:01:23 --> 00:01:30]  Терма камеры является достаточно сложным устройством с выверенами аэродинамическими характеристиками.
[00:01:30 --> 00:01:41]  То есть камера сама обеспечивает необходимую тягу из дымы генератора или наоборот дымы генератор создаётся рукуляцию дымы воздушной смеси установки.
[00:01:41 --> 00:01:51]  Самая камера и дымы генератор работают как единое целое. И этому предшествует огромное работа конструкторов и инженеров.
[00:01:51 --> 00:02:01]  Если такой дымы генератор установить на камеру, которая не соответствует необходимым характеристиком, то он не будет работать или еще хуже.
[00:02:01 --> 00:02:08]  Будет работать опасно. Если, например, из щипового дымы генератора будет повышенная тяга.
[00:02:08 --> 00:02:21]  Именно поэтому, чтобы обезопасить людей и не получить негативный опыт от неправильного использования нашего дымы генератора, мы не продаем их для самодельных установок.
[00:02:21 --> 00:02:30]  Наша цель серина производить профессиональное оборудование, которое позволит вам выпускать продукцию в стабильного высокого качества и зарабатывать.
[00:02:30 --> 00:02:38]  Для этого наши инженеры проектируют и тестируют каждую модель с начала специальных программах, то есть виртуально.
[00:02:38 --> 00:02:48]  Только после этого новая термокамера собирается на производстве и снова тестируется уже на конкретном продукте нашим технологом.
[00:03:00 --> 00:03:15]  Блай этого рентка, когда к нам обращается человек, который мы нужно организовать, например, рыбное производство.
[00:03:15 --> 00:03:29]  Был конкретный такой случай. Человек построил помещение на 50 кубов, то есть это 25 метров квадратных и 2 метров высоту условно.
[00:03:29 --> 00:03:37]  Бочит поставить туда наш дымы генератор от небольшой камеры, чтобы это помещение задымить, причём на холодное копчение рыбы.
[00:03:37 --> 00:03:52]  Надо понимать, чтобы задымить такой объем, это нужно очень сильная дымы генерация и в общем-то в промышленных условиях, даже на больших рыбы перерабатывающих имя соперабатывающих производствах.
[00:03:52 --> 00:04:12]  Такие установки, правой не используются. Бывает, что человек и гнарирует полностью все технологии, он считает, что может это сделать сам, даже не с целью с экономить, даже если есть выделенный средство, на то, чтобы построить грамотный завод.
[00:04:12 --> 00:04:20]  Но человек самолуверенно идет в то, что он должен разобраться с этим самостоятельно.
[00:04:20 --> 00:04:29]  И в итоге мы долго беседуем, мы говорим о том, что мы не можем гарантировать вам результат, которые получите в итоге.
[00:04:29 --> 00:04:37]  Но человек либо соглашается с нами, либо он идет еще дальше, какие-то решения.
[00:04:37 --> 00:04:47]  История может лица год и даже больше, и вы не получите тот результат, который вам нужен в течение долгого времени.
[00:04:47 --> 00:04:55]  За честую человек, все равно обращается к профессионалам, не обязательно к нам, это может быть его выбор любой.
[00:04:55 --> 00:05:09]  В конкретном случае, вот такой объем камеры сделать на коретное копчение, то есть вы понимаете, что за просто при таких объемах камеры на большие объемы продукта.
[00:05:09 --> 00:05:17]  Обольшие объемы продукты всегда необходимость стабильности и по качеству и по объемам естественно.
[00:05:17 --> 00:05:25]  Поэтому достиг сложно ситуация так пока ничего не завершилась, ну человек в изысканих.
[00:05:25 --> 00:05:37]  Мы даже сделали предложение, которое мы более-менее оцениваем, но даже это его не устроило, пока на данном этапе.
[00:05:37 --> 00:05:45]  Это все равно инженерная, профессиональная грамотная решения, оно провердается.
[00:05:45 --> 00:05:53]  То есть человек идет искать дальше. Если у вас есть неограниченное количество денег, на это, и вы готовы экспериментировать, и у вас просто свой интерес.
[00:05:53 --> 00:06:04]  Вы любите, что ты изобретать сами, вы хотите сделать подвиг, совершить и сделать что-то своими руками и оно будет работать.
[00:06:04 --> 00:06:10]  Таких вариантов тоже достаточно много существует. То, проблемы нет, пожалуйста.
[00:06:10 --> 00:06:27]  Но если ваш отцель зарабатывать, если ваш отцель стартануть и сразу пойти в расширение и в какие-то стабильные продажи, нужно очень, очень шепитильно подойти к выбору оборудования и лучше не экспериментируйте.
[00:06:27 --> 00:06:36]  На экспериментах вы потеряете, как правило гораздо больше, чем вложите сразу в правильный процесс.
[00:06:36 --> 00:06:55]  Все вопросы задавайте в комментариях. Если вам нужно подобрать оборудование обращайтесь, подробно распросим для чего вам нужно для каких целей, для какого продукта, и всегда, поможено пределиться именно с подходящим для вас комплектом.
[00:06:55 --> 00:06:57]  По всему вашему тех задайней.
