[00:00:00 --> 00:00:22]  ДИНАМИЧНАЯ МУЗЫКА
[00:00:22 --> 00:00:24]  Здравствуйте. Меня зовут Сергей Белдовский.
[00:00:24 --> 00:00:27]  Я инженер Компания не вижу, и сегодня хочу вы представить
[00:00:27 --> 00:00:31]  наше новую камеру для холодного электростатического копчения.
[00:00:31 --> 00:00:34]  Ижется 1200 М4.
[00:00:34 --> 00:00:37]  Коммера выполненная полностью из нежавейшей стали основной
[00:00:37 --> 00:00:41]  ковопоскуда помещается продукция дымы гибераттер.
[00:00:41 --> 00:00:42]  Блоку управления.
[00:00:42 --> 00:00:45]  Для работы камеры, ее необходимо подключить к трюфуазной электрической
[00:00:45 --> 00:00:49]  сети 3800 вольт и подключить вентиляцию.
[00:00:49 --> 00:00:54]  Внутренний объем камеры составляет полтора кубических метров.
[00:00:54 --> 00:00:58]  Внутренний камер находится подвес, установлены на изоляторах,
[00:00:58 --> 00:01:02]  на которые устанавливается клеить с развешенной продукции.
[00:01:02 --> 00:01:06]  На задней стенке находится планки для крепления ускорителей.
[00:01:06 --> 00:01:08]  По бокам камеры находится дымоводы,
[00:01:08 --> 00:01:12]  которые направляют воздушные дымы 8 внутри камеры.
[00:01:12 --> 00:01:16]  А также отверстие подачи дымы из дымы гибераттеры.
[00:01:16 --> 00:01:20]  Но закрывается специальным расшивителем дымы.
[00:01:20 --> 00:01:24]  Продукция, развращается на специальные клети.
[00:01:24 --> 00:01:30]  В зависимости от вида продукции, а на либороскладывается на сетке.
[00:01:30 --> 00:01:38]  Либор развешивается на шум порах различного осечения,
[00:01:38 --> 00:01:41]  за疫симости от массы продукции.
[00:01:41 --> 00:01:46]  Либор развешивается на специальных вишалах с помощью крючков.
[00:01:46 --> 00:01:52]  После раскладки продукции на клети мы устанавливаем ее в камеру.
[00:01:52 --> 00:02:06]  Для установки клети и перемещения клети по цеху используется специальная телега.
[00:02:06 --> 00:02:12]  Важным этапом является установку в корейтелей к планкам закреплену на задней стенке камеры.
[00:02:13 --> 00:02:19]  В афример работы камеры создается разность под социалах между клети, установленная на изолятора.
[00:02:19 --> 00:02:23]  И ускорителями расположиме рядом с продуктом.
[00:02:23 --> 00:02:27]  Между продуктом и ускорителями создается электростатическое поля.
[00:02:27 --> 00:02:33]  За счет чего процесс копчения ускоряется несколько раз, посравнению с классическим копчением.
[00:02:34 --> 00:02:42]  Если у нас плоское продукция такая как мы приверсир, мы и устанавливаем на сетки и ускорителями распорогаем горизонтально.
[00:02:42 --> 00:02:48]  Не выходим обеспечить расстояние между иголками ускорителя до продукта 2 сантиметра.
[00:02:48 --> 00:02:50]  Примерно 2 пальца.
[00:02:50 --> 00:02:54]  Если мы подвешим продукцию на шумпура, например рыбу,
[00:02:54 --> 00:02:59]  то ускоритель необходимо расположить вертикально.
[00:02:59 --> 00:03:03]  Очень важно проверить, что бы ускоритель не касался продукта.
[00:03:03 --> 00:03:07]  И везде было одинаковое расстояние от продукта до ускорителя,
[00:03:07 --> 00:03:10]  чтобы было равномерное распределение дыма на продукт.
[00:03:10 --> 00:03:16]  После установки клети развески ускорителей мы переходим к подготовке дымогенератора к работе.
[00:03:18 --> 00:03:26]  Комплекты с коптильной камеры, инжица 2004, входят новой дымогенератор с рекционного типа F10.
[00:03:26 --> 00:03:33]  Образование дыма в этом генераторе происходит за счет трения рейки и диска.
[00:03:33 --> 00:03:39]  Для обеспечения давления на рейку необходимо установить дополнительный груз.
[00:03:43 --> 00:03:46]  Электротвигатель приводит в обращение диск,
[00:03:46 --> 00:03:49]  который находится внутри корпусы дымогенератора.
[00:03:49 --> 00:03:53]  За счет этого происходит издирание рейки и образования дыма.
[00:03:53 --> 00:03:58]  Образумано дым поступает в камеру за счет в входящего потрупка.
[00:03:58 --> 00:04:03]  Для обеспечения более эффективного использования дыма в камере есть обратный патрубок.
[00:04:03 --> 00:04:11]  За счет чего происходит рейцеркуляция дыма на панель управления расположена кнопка включения контроллер,
[00:04:11 --> 00:04:17]  управления программами, кнопка контроля, разности потенциалов.
[00:04:17 --> 00:04:23]  Индикация диоды, этой кнопки позволяет проверить, не касается ли ускоритель продукта.
[00:04:23 --> 00:04:27]  Данный контроллер позволяет управлять три мяпораметрыми.
[00:04:27 --> 00:04:30]  Это время работа высокого вольства генератора.
[00:04:30 --> 00:04:34]  Время поозы высокоовольного генератора и общие время работы.
[00:04:34 --> 00:04:38]  4 строка показывает оставшиеся время работы.
[00:04:38 --> 00:04:44]  В время работы высокоовольного генератора, это время ускоренного сождения дыма на продукте.
[00:04:44 --> 00:04:49]  За счет разости потенциалов между продуктов и ускорительными.
[00:04:49 --> 00:04:52]  Время поозы высокоовольного генератора.
[00:04:52 --> 00:04:55]  Это время, за которое в камере накапливается дым.
[00:04:55 --> 00:04:58]  Время работы это общие время работы камеры.
[00:04:58 --> 00:05:05]  Данный параметры позволяет контролировать интенсивность процесса к обчения в зависимости от продукции.
[00:05:05 --> 00:05:11]  После обставления выходим их параметров мы запускаем процесс к обчения клававшей пуск.
[00:05:15 --> 00:05:20]  Электростотические принципы к обчения позволяет значительно ускорить приготовления продукта.
[00:05:20 --> 00:05:29]  То есть за одну загрузку в течение 40-60 минут вы получаете 60-60 килограммов готовые продукции.
[00:05:29 --> 00:05:37]  Если считать 8 часов рабочую смену, в течение нее вы получаете до полтона готовые продукции.
[00:05:37 --> 00:05:41]  Это был обзор к обтильной камеры холодного к обчения.
