[00:00:00 --> 00:00:02]  Здравствуйте!
[00:00:02 --> 00:00:04]  Меня зовут Сергей Белдовский.
[00:00:04 --> 00:00:08]  Я инженер компании не вижуца и сегодня хочу вам представить
[00:00:08 --> 00:00:12]  наше новую камеру для холодного электростатического копчения.
[00:00:12 --> 00:00:14]  Ижется 1200M4.
[00:00:14 --> 00:00:18]  Камера выполненная полностью из нежавейшей стали основной коопут,
[00:00:18 --> 00:00:22]  куда помещается продукция дымы гейверадор, блок управления.
[00:00:22 --> 00:00:26]  Для работы камеры, ее необходимо подключить к труфазной электрической сети
[00:00:26 --> 00:00:30]  380W и подключить вентиляцию.
[00:00:30 --> 00:00:34]  Внутренний объем камеры составляет полтора кубических метра.
[00:00:34 --> 00:00:38]  Внутри камеры находится подвес, установлены на изоляторах,
[00:00:38 --> 00:00:42]  на которые устанавливается клеить с развешенной продукции.
[00:00:42 --> 00:00:46]  На задней стенке находится планки для крепления ускорителей.
[00:00:46 --> 00:00:48]  По бокам камеры находится дымоводы,
[00:00:48 --> 00:00:52]  которые направляют воздушные дымы 8 м.
[00:00:52 --> 00:00:56]  А также отверстие подачи дымы из дымы гейрадора.
[00:00:56 --> 00:01:00]  Но закрывается специальным рассеевителем дымы.
[00:01:00 --> 00:01:04]  Продукция размещается на специальной клетии.
[00:01:04 --> 00:01:10]  В зависимости от вида продукции она либо раскладывается на сетке.
[00:01:10 --> 00:01:20]  Либо развешивается в нашем порах различного осечения,
[00:01:20 --> 00:01:22]  за ее съемости от масса продукции.
[00:01:22 --> 00:01:28]  Либо развешивается на специальных вишалах с помощью крючков.
[00:01:28 --> 00:01:34]  После раскладки продукции на клетии мы устанавливаем ее в камеру.
[00:01:42 --> 00:01:46]  Для установки клети перемещения клети по цеху используется специальная телега.
[00:01:46 --> 00:01:54]  Важным этапом является установку ускорителей к планкам закрепленов на задней стенке камеры.
[00:01:54 --> 00:02:00]  В время работы камеры создается разность подсоциалов между клетью установленной залиатрах
[00:02:00 --> 00:02:04]  и ускорителями расположим рядом с продуктом.
[00:02:04 --> 00:02:08]  Между продуктом и ускорителями создается электростатическое поле.
[00:02:08 --> 00:02:12]  Зачем еще что процесс копчения ускоряется несколько раз.
[00:02:12 --> 00:02:15]  По сравнению с классическим копчением.
[00:02:15 --> 00:02:18]  Если у нас плоское продукция такая как бы пример сыр.
[00:02:18 --> 00:02:23]  Мы ее установлены на сетке и ускорителя мы распорогаем горизонтально.
[00:02:23 --> 00:02:29]  Необходимо обеспечить расстояние между иголками ускорителя до продукта 2 сантиметра.
[00:02:29 --> 00:02:31]  Примерно два пальца.
[00:02:31 --> 00:02:35]  Если мы подвешиваем продукцию на шумпура, например рыбу,
[00:02:35 --> 00:02:40]  то ускоритель необходимо расположить вертикально.
[00:02:40 --> 00:02:44]  Очень важно проверить, чтобы ускоритель не касался продукта.
[00:02:44 --> 00:02:48]  И везде было одинаковое состояние от продукта до ускорителя,
[00:02:48 --> 00:02:51]  чтобы было равномерное распределение дыма на продукт.
[00:02:51 --> 00:02:57]  После установки к литии развески ускорителей мы переходим к подготовке дымогенератора к работе.
[00:02:59 --> 00:03:03]  Комплекта с коптильной камеры, и инжица 2004,
[00:03:03 --> 00:03:07]  входят новые дымогенератор с рекционного типа F10.
[00:03:07 --> 00:03:14]  Образование дыма в этом генераторе происходит за счет трения рейки и диска.
[00:03:14 --> 00:03:20]  Для обеспечения давления на рейку необходимо установить дополнительный груз.
[00:03:24 --> 00:03:27]  Электро двигатель приводит в обращение диск,
[00:03:27 --> 00:03:30]  который находится внутри корпус дымогенератора.
[00:03:30 --> 00:03:34]  За счет этого происходит издирание рейки и образования дыма.
[00:03:35 --> 00:03:40]  Образование дым поступает в камеру за счет входящего потрупка.
[00:03:40 --> 00:03:45]  Для обеспечения более эффективного использования дыма в камере есть обратный потрупок.
[00:03:45 --> 00:03:48]  За счет чего происходит рейцеркуляция дыма?
[00:03:48 --> 00:03:53]  На панель управления расположена кнопка включения контроллер,
[00:03:53 --> 00:03:59]  управления программами, экономики, и кнопка контроля разности потенциалов.
[00:03:59 --> 00:04:05]  Индикация диоды, этой кнопки позволяет проверить не касается ли ускоритель продукта.
[00:04:05 --> 00:04:09]  Данный контроллер позволяет управлять три мяпораметры.
[00:04:09 --> 00:04:11]  Это время работы высокого литного генератора.
[00:04:11 --> 00:04:15]  Время поозы высокоовольного генератора и общие время работы.
[00:04:15 --> 00:04:19]  4 страка показывает оставшиеся время работы.
